Center Name,Type,Latitude,Longitude
Brgy. Pinyahan Suntay MultiPurpose Hall Building,Evacuation Center,14.638590,121.046410
Brgy. Pinyahan Pinyahan Elementary School,Evacuation Center,14.638309,121.050469
Brgy. Roxas Roxas Multipurpose Gymnasium,Evacuation Center,14.627941,121.021640
Brgy. Roxas Roxas Covered Court,Evacuation Center,14.628740,121.019543
Brgy. Roxas Holy Family Parish Church,Evacuation Center,14.627401,121.021325
Brgy. Sacred Heart Kamuning Elementary School,Evacuation Center,14.629707,121.036578
Brgy. Sacred Heart Sacred Heart Parish – Shrine,Evacuation Center,14.631533,121.039359
Brgy. San Isidro Galas Covered Court,Evacuation Center,14.611813,121.009364
Brgy. San Isidro Galas Tennis Court,Evacuation Center,14.612856,121.009868
Brgy. San Isidro Galas Badminton Court,Evacuation Center,14.612856,121.009868
Brgy. San Martin de Porres Basketball Court,Evacuation Center,14.617210,121.049164
Brgy. San Martin de Porres Multipurpose Building (Brgy. Hall),Evacuation Center,14.617210,121.049164
Brgy. San Roque Aguinaldo Elementary School (Covered Court),Evacuation Center,14.617241,121.063273
Brgy. San Roque San Roque Brgy Hall,Evacuation Center,14.615267,121.062002
Brgy. San Vicente Suntay Hall,Evacuation Center,14.653518,121.055193
Brgy. Santol Santol Barangay Hall,Evacuation Center,14.612333,121.014545
Brgy. Sikatuna Village 1st Quadrant,Evacuation Center,14.635972,121.059056
Brgy. Sikatuna Village 2nd Quadrant,Evacuation Center,14.635972,121.059056
Brgy. Sikatuna Village 3rd Quadrant,Evacuation Center,14.635972,121.059056
Brgy. Sikatuna Village 4th Quadrant,Evacuation Center,14.635972,121.059056
Brgy. South Triangle South Triangle Barangay Hall,Evacuation Center,14.637756,121.037422
Brgy. Tatalon Mabuhay Court,Evacuation Center,14.618771,121.011903
Brgy. Tatalon Diosdado Macapagal Elementary School Covered Court,Evacuation Center,14.622384,121.012545
Brgy. Teachers Village East Teachers Village East Barangay Hall,Evacuation Center,14.645847,121.060760
Brgy. Teachers Village East C.P. Garcia Park,Evacuation Center,14.647122,121.060995
Brgy. Teachers Village West Claret School of Quezon City,Evacuation Center,14.645476,121.055627
Brgy. Valencia Valencia Barangay Hall,Evacuation Center,14.607989,121.039539
Brgy. Valencia SK Hall,Evacuation Center,14.608672,121.040477
Brgy. Valencia Open Court,Evacuation Center,14.607989,121.039539
Brgy. Bagbag San Pedro Covered Court,Evacuation Center,14.687424,121.045177
Brgy. Bagbag SB park Covered Court,Evacuation Center,14.696793,121.037810
Brgy. Bagbag St. Nicholas of Bari School,Evacuation Center,14.701383,121.031500
Brgy. Bagbag Remarville Covered Court,Evacuation Center,14.695762,121.039580
Brgy. Capri Capri Activity Center (CAC),Evacuation Center,14.716940,121.028493
Brgy. Capri Covered Court,Evacuation Center,14.717019,121.028766
Brgy. Fairview Fairlane Elementary School,Evacuation Center,14.699840,121.063865
Brgy. Fairview The Church of Jesus Christ,Evacuation Center,14.699840,121.063865
Brgy. Fairview Sitio Sto. Niño,Evacuation Center,14.693171,121.068807
Brgy. Greater Lagro A. Centennial Park Dulo,Evacuation Center,14.718491,121.065991
Brgy. Greater Lagro B.Plaza Gitna 1,Evacuation Center,14.725857,121.066462
Brgy. Greater Lagro B.Plaza Gitna 2,Evacuation Center,14.725857,121.066462
Brgy. Greater Lagro B.Plaza Gitna 3,Evacuation Center,14.725857,121.066462
Brgy. Greater Lagro C. Mindanao Ace. Ext Open Space,Evacuation Center,14.725857,121.066462
Brgy. Greater Lagro Ascension of Our Lord Parish Church Patio,Evacuation Center,14.733370,121.067017
Brgy. Greater Lagro D. Hilltop Covered Basketball Court,Evacuation Center,14.725857,121.066462
Brgy. Greater Lagro Fatima University Covered Court,Evacuation Center,14.725857,121.066462
Brgy. Gulod Elementary School,Evacuation Center,14.712539,121.038475
Brgy. Kaligayahan Zabarte Covered Court,Evacuation Center,14.738325,121.047409
Brgy. Kaligayahan Multipurpose Hall,Evacuation Center,14.738325,121.047409
Brgy. Kaligayahan Roxas Vargas Hall,Evacuation Center,14.715819,121.029432
Brgy. Nagkaisang Nayon Banahaw St. Open Space,Evacuation Center,14.719201,121.028496
Brgy. Nagkaisang Nayon Pasacola Area D. Basketball Covered Court,Evacuation Center,14.716724,121.031746
Brgy. Nagkaisang Nayon Goldmine Basketball Court,Evacuation Center,14.719201,121.028496
Brgy. Nagkaisang Nayon Robina Covered Court,Evacuation Center,14.716186,121.019338
Brgy. North Fairview North Fairview Basketball Court,Evacuation Center,14.722469,121.062848
Brgy. Novaliches Proper Barangay Hall – 3rd Floor,Evacuation Center,14.838725,121.042840
Brgy. Novaliches Proper Vargas Building,Evacuation Center,14.720093,121.037810
Brgy. Novaliches Proper Dona Isaura Covered Court,Evacuation Center,14.720674,121.037018
Brgy. Novaliches Proper Dona Rosario Covered Court/ Command Center,Evacuation Center,14.719003,121.035348
Brgy. Novaliches Proper SB Plaza,Evacuation Center,14.721061,121.039199
Brgy. Pasong Putik Feliciano Covered Court,Evacuation Center,14.738576,121.058958
Brgy. Pasong Putik Celipto Covered Court,Evacuation Center,14.739508,121.074423
Brgy. Pasong Putik Petchayang Covered Court,Evacuation Center,14.739508,121.074423
Brgy. San Agustin Vargas Multi – Purpose Hall,Evacuation Center,14.716437,121.030247
Brgy. San Agustin T. S Park,Evacuation Center,14.730874,121.034943
Brgy. San Bartolome California Village,Evacuation Center,14.710265,121.026235
Brgy. San Bartolome Nomar II Covered Court,Evacuation Center,14.701183,121.041070
Brgy. San Bartolome Odelco Covered Court,Evacuation Center,14.709739,121.032262
Brgy. San Bartolome Odelco Elementary School,Evacuation Center,14.710161,121.031949
Brgy. Sta. Monica Villaverde Covered Court,Evacuation Center,14.722941,121.046374
Brgy. Sta. Monica Santiago Subd. Covered Court,Evacuation Center,14.718656,121.045335
Brgy. Sta. Monica Lydia Covered Court,Evacuation Center,14.715761,121.048372
Brgy. Sta. Monica Palmera Phase II Covered Court,Evacuation Center,14.716900,121.107989
Brgy. Sta. Monica Palmera Phase IV Covered Court,Evacuation Center,14.716911,121.030290
Brgy. Apolonio Samson Apolonio Samson Elementary School,Evacuation Center,14.654723,121.008911
Brgy. Baesa Covered Court Asamba,Evacuation Center,14.674601,121.013380
Brgy. Baesa Monotoc Covered Court,Evacuation Center,#ERROR!,#ERROR!
Brgy. Baesa Elementary School,Evacuation Center,14.674601,121.013380
Brgy. Baesa Saint Martin De Porres Chapel,Evacuation Center,14.664258,121.015132
Brgy. Baesa Dead End Court,Evacuation Center,14.663544,121.014038
Brgy. Balong – bato Balon – Bato Health Center,Evacuation Center,14.664991,121.003778
Brgy. Balong – bato Balon – Bato Elementary School,Evacuation Center,14.664991,121.003778
Brgy. Culiat Vargas Compound Covered Court,Evacuation Center,14.667987,121.056670
Brgy. Culiat Multipurpose Hall,Evacuation Center,14.667981,121.056848
Brgy. Culiat Dunong Kabuhayan Training Center,Evacuation Center,14.667987,121.056670
Brgy. Culiat Culiat High School,Evacuation Center,14.668174,121.056369
Brgy. Culiat Salam Covered Court,Evacuation Center,14.624162,121.054494
Brgy. Culiat Covered Court,Evacuation Center,14.667987,121.056670
Brgy. Culiat Bernardo Covered Court Multi – Purpose Hall,Evacuation Center,14.667987,121.056670
Brgy. Culiat Pael Multipurpose Hall,Evacuation Center,14.660112,121.048581
Brgy. New Era Disaster Building,Evacuation Center,14.622752,121.025518
Brgy. New Era MRF Building,Evacuation Center,14.664940,121.060742
Brgy. Pasong Tamo Marcel Village Covered Court,Evacuation Center,14.681685,121.048029
Brgy. Pasong Tamo Veteran ANNEX I,Evacuation Center,14.679383,121.059309
Brgy. Pasong Tamo Pingkian / Central ANNEX II,Evacuation Center,14.679383,121.059309
Brgy. Pasong Tamo Pantranco Chapel,Evacuation Center,14.683036,121.049917
Brgy. Sangandaan Mendoza Multipurpose Building,Evacuation Center,14.674334,121.021086
Brgy. Sangandaan Mathay High School,Evacuation Center,14.675621,121.022320
Brgy. Sauyo Sotto Multipurpose Building,Evacuation Center,14.689801,121.033787
Brgy. Sauyo Sauyo Elementary School,Evacuation Center,14.689596,121.043275
Brgy. Sauyo Del Nacia Ville Covered Court,Evacuation Center,14.689801,121.033787
Brgy. Sauyo NIA Covered Court,Evacuation Center,14.686258,121.046854
Brgy. Sauyo Sauyo Covered Court,Evacuation Center,14.687778,121.037640
Brgy. Talipapa Talipapa Barangay Hall – 3rd Floor,Evacuation Center,14.687658,121.025464
Brgy. Talipapa Placido del Mundo Elementary School,Evacuation Center,14.687295,121.025231
Brgy. Talipapa Villa Sabina Park,Evacuation Center,14.688814,121.024673
Brgy. Talipapa Volleyball Court,Evacuation Center,14.689042,121.024898
Brgy. Talipapa Silvina Village Sports Complex,Evacuation Center,14.685668,121.028704
Brgy. Talipapa Sahara Sports Complex Basketball Court,Evacuation Center,14.684987,121.029535
Brgy. Tandang Sora Tandang Sora Barangay Hall,Evacuation Center,14.681805,121.032211
Brgy. Tandang Sora Tandang Sora Covered Court,Evacuation Center,14.686560,121.045279
Brgy. Unang Sigaw Covered Court (Camachile Police Station 3 QCPD),Evacuation Center,14.660116,121.001254
Brgy. UP Campus Amorsolo Building,Evacuation Center,14.657837,121.065041
Brgy. UP Campus Village B Covered Court,Evacuation Center,14.650652,121.063268
Brgy. UP Campus Dagohoy Hall,Evacuation Center,14.659272,121.073998
Brgy. UP Village Basketball Court,Evacuation Center,14.648040,121.058279
Brgy. UP Village Tennis Court,Evacuation Center,14.648040,121.058279
